Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price
Volkswagen,Sports Car,12-Feb-2010,10yrs  COE left),N.A,N.A,1194,N.A,N.A,1984,1339,2009,Auto,30545,30545,155,2,N.A
Mercedes-Benz,Sports Car,26-Jan-2011,10yrs  COE left),9080,117000,974,N.A,N.A,1796,1685,2010,Auto,57343,57343,135,3,90800
Mercedes-Benz,Luxury Sedan,25-Sep-2019,9yrs 6mths 6days COE left),N.A,N.A,740,N.A,39401,1595,1490,2019,Auto,36204,42686,115,1,N.A
Mercedes-Benz,Hatchback,25-Feb-2014,3yrs 11mths 6days COE left),N.A,N.A,740,N.A,77201,1595,1425,2013,Auto,25334,17468,90,1,N.A
Audi,Luxury Sedan,30-Oct-2010,7mths 11days COE left),N.A,N.A,976,N.A,43290,1798,1450,2010,Auto,36104,36104,118,4,N.A
Toyota,Mid-Sized Sedan,09-Jan-2019,8yrs 9mths 21days COE left),N.A,N.A,742,N.A,23568,1598,1230,2018,Auto,21858,22602,96,1,N.A
Toyota,Mid-Sized Sedan,11-Mar-2015,4yrs 11mths 20days COE left),N.A,N.A,742,N.A,57199,1598,1205,2014,Auto,19143,14143,90,1,N.A
Toyota,MPV,26-Oct-2006,1yr 7mths 7days COE left),N.A,N.A,1361,N.A,28376,1794,1300,2006,Auto,18333,20167,97,2,N.A
Nissan,Truck,12-Jul-2013,3yrs 3mths 23days COE left),7090,145678,N.A,19559,59001,2953,1740,2013,Manual,30277,1514,1,N.A,23500
Isuzu,Truck,13-Jan-2011,10yrs  COE left),N.A,N.A,N.A,N.A,N.A,15681,24820,2010,Manual,115006,5751,2,N.A,N.A
Audi,SUV,25-Jan-2010,10yrs  COE left),N.A,N.A,1194,N.A,N.A,1984,1740,2009,Auto,38755,38755,155,3,N.A
Mercedes-Benz,Luxury Sedan,07-Feb-2020,9yrs 10mths 19days COE left),33810,36,N.A,141601,37900,2999,2015,2019,Auto,92663,138794,286,1,403988
Subaru,SUV,27-Feb-2009,8yrs 10mths 13days COE left),N.A,N.A,1327,N.A,31335,1994,1485,2008,Auto,21108,21108,110,4,N.A
Honda,MPV,17-Jan-2008,2yrs 9mths 13days COE left),N.A,N.A,1174,N.A,25925,1799,1350,2007,Auto,17830,18875,103,3,N.A
Ford,Sports Car,09-Sep-2016,6yrs 5mths 21days COE left),N.A,N.A,5438,N.A,57002,4951,1659,2016,Auto,53061,67510,310,1,N.A
Toyota,SUV,27-Nov-2017,7yrs 8mths 8days COE left),11600,38741,1210,65598,51000,1998,1695,2017,Auto,30808,35132,170,1,106800
Toyota,Mid-Sized Sedan,27-Jan-2010,4yrs 10mths 8days COE left),N.A,N.A,684,N.A,16184,1497,1095,2009,Auto,12717,12717,80,1,N.A
Honda,MPV,14-May-2007,2yrs 1mth 12days COE left),N.A,N.A,1271,N.A,26004,1799,1350,2007,Auto,18063,19870,103,6,N.A
Toyota,Mid-Sized Sedan,19-Nov-2008,8yrs 8mths  COE left),N.A,N.A,818,N.A,29670,1496,1130,2008,Auto,13589,13589,81,3,N.A
Audi,Luxury Sedan,24-Oct-2016,6yrs 7mths 5days COE left),11700,40000,624,46490,50991,1395,1310,2016,Auto,25068,17096,92,2,85800
Subaru,Sports Car,12-Mar-2007,1yr 11mths 21days COE left),9490,250000,2275,9973,25174,2457,1405,2006,Manual,20266,20186,169,2,18800
MINI,Hatchback,16-Aug-2017,7yrs 4mths 28days COE left),10120,38798,508,43688,45201,1198,1175,2017,Auto,22550,13570,75,1,81800
BMW,Luxury Sedan,27-Nov-2015,5yrs 8mths 8days COE left),N.A,N.A,684,N.A,58801,1499,1425,2015,Auto,29922,28891,100,1,N.A
Volkswagen,Sports Car,26-Jan-2010,9yrs 10mths 7days COE left),N.A,N.A,620,N.A,32368,1390,1285,2009,Auto,24186,22208,118,1,N.A
Mazda,MPV,07-Jan-2016,5yrs 9mths 19days COE left),N.A,N.A,710,N.A,43003,1998,1664,2015,Auto,19471,19471,111,1,N.A
BMW,Hatchback,22-Jul-2016,6yrs 4mths 3days COE left),N.A,N.A,1182,N.A,52301,1496,1350,2016,Auto,23325,9655,85,2,N.A
Toyota,SUV,20-Apr-2017,7yrs 1mth 1day COE left),11720,30000,1196,62148,54501,1986,1610,2016,Auto,31671,31340,111,1,98800
Subaru,SUV,20-Dec-2014,4yrs 9mths 1day COE left),11400,106000,1210,47236,73900,1998,1635,2014,Auto,17239,17239,177,2,62888
Hyundai,Mid-Sized Sedan,10-Nov-2009,4yrs 7mths 13days COE left),N.A,N.A,812,N.A,15287,1591,1264,2009,Auto,11465,11214,89,3,N.A
Honda,SUV,13-Dec-2016,6yrs 8mths 24days COE left),9400,42153,N.A,3750,N.A,1496,1280,2016,Auto,25906,5000,112,1,65833
Hyundai,SUV,20-Jun-2017,7yrs 3mths 1day COE left),13610,38000,1634,59734,55414,2359,1891,2017,Auto,24302,26023,138,1,111800
Lexus,Luxury Sedan,31-Mar-2016,6yrs 12days COE left),N.A,N.A,N.A,N.A,46502,2494,1705,2016,Auto,45629,50881,151,1,N.A
Mercedes-Benz,Stationwagon,22-Sep-2016,6yrs 6mths 3days COE left),N.A,N.A,740,N.A,55200,1595,1460,2016,Auto,30403,29565,90,1,N.A
Lexus,Luxury Sedan,22-Mar-2010,10yrs  COE left),6880,N.A,3100,N.A,N.A,3456,1860,2010,Auto,67214,40329,218,4,68800
Mercedes-Benz,Sports Car,01-Apr-2010,10yrs  COE left),7980,121000,974,N.A,N.A,1796,1575,2010,Auto,60344,60344,150,3,79800
BMW,SUV,29-Jun-2015,5yrs 3mths 10days COE left),N.A,N.A,2362,N.A,71509,2979,2030,2014,Auto,60229,80413,225,2,N.A
Toyota,Mid-Sized Sedan,09-Mar-2018,7yrs 11mths 19days COE left),8350,34410,742,48687,40000,1598,1230,2017,Auto,21690,22366,96,1,77800
Toyota,MPV,30-Sep-2008,3yrs 6mths 11days COE left),N.A,N.A,1435,N.A,16689,1986,1550,2008,Auto,19325,19325,105,2,N.A
Toyota,MPV,03-Oct-2006,1yr 6mths 12days COE left),N.A,N.A,1361,N.A,28418,1794,1300,2006,Auto,18279,20107,97,3,N.A
Honda,MPV,04-Jul-2017,7yrs 3mths 15days COE left),N.A,N.A,682,N.A,52000,1496,1700,2015,Auto,27574,30604,110,1,N.A
BMW,Sports Car,02-Sep-2010,5mths 14days COE left),N.A.,70000,3948,45232,42901,3999,1600,2010,Auto,86539,86539,309,2,129500
Honda,MPV,30-Mar-2010,5yrs  COE left),7310,N.A,978,N.A,N.A,1799,1385,2009,Auto,26187,26187,103,3,36555
Toyota,Luxury Sedan,01-Apr-2009,9yrs 13days COE left),N.A,N.A,1331,N.A,33018,1998,1530,2009,Auto,25948,25948,108,4,N.A
Nissan,SUV,23-May-2016,6yrs 2mths 4days COE left),N.A,N.A,1210,N.A,51010,1997,1626,2016,Auto,22509,23513,106,1,N.A
BMW,Luxury Sedan,31-Jul-2013,3yrs 4mths 12days COE left),N.A,N.A,1210,N.A,76802,1997,1610,2013,Auto,42470,46458,135,1,N.A
Audi,Hatchback,30-Oct-2015,5yrs 7mths 11days COE left),10510,51888,624,46996,57301,1395,1300,2015,Auto,26950,19730,92,1,68900
Mitsubishi,Truck,17-Mar-2009,8yrs 11mths 26days COE left),N.A,N.A,N.A,N.A,26756,2977,2440,2008,Manual,33164,1659,2,N.A,N.A
Mazda,MPV,21-Jun-2010,5yrs  COE left),N.A,N.A,1520,N.A,N.A,2261,1780,2010,Auto,33811,33811,120,2,N.A
Hyundai,SUV,28-Jul-2017,7yrs 4mths 9days COE left),N.A,N.A,1906,N.A,50001,1995,1674,2017,Auto,25864,28210,136,1,N.A
